round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009
1,5,4.444444444444445,3.4722222222222223,1.0850694444444444,1.1111111111111112,999.549845146541,0.9675604163266699,996.8726519779491,1000.0,0.9999990629843034,9995.49845146541,0,4,1000.0,1000.0,1000.0,998.7368761600153,999.8889233274458,1000.0,1000.0,1000.0,996.8726519779491,1000.0
2,10,4.444444444444445,6.944444444444445,2.170138888888889,2.2222222222222223,999.0468065353556,1.9823756345597336,993.8761905147315,1000.0,0.9999960626998762,9990.468065353556,0,8,1000.0,1000.0,1000.0,993.8761905147315,999.8889233274458,1000.0,1000.0,1000.0,996.7029515113788,1000.0
3,15,8.88888888888889,10.416666666666666,3.2552083333333335,3.3333333333333335,998.3789789564637,2.31892592529259,993.7694345331203,999.8932440183887,0.9999946051353614,9983.789789564637,0,3,999.2742817482201,999.2742817482201,999.2742817482201,993.7694345331203,999.1632050756659,999.5786697195674,999.8932440183887,999.8932440183887,993.7759029364562,999.8932440183887
4,20,8.88888888888889,13.88888888888889,4.340277777777778,3.3333333333333335,997.9048804989695,2.576587167103699,992.8320624636309,999.8932440183887,0.9999933333371818,9979.048804989696,0,7,999.2742817482201,999.2742817482201,999.2742817482201,992.8320624636309,999.1632050756659,995.7750572141164,999.8932440183887,999.8932440183887,993.7759029364562,999.8932440183887
5,25,8.88888888888889,6.944444444444445,4.340277777777778,4.444444444444445,997.259446637662,3.1776602981102577,991.3656765164919,999.8932440183887,0.9999898470041516,9972.59446637662,0,9,998.8728618558551,998.8728618558551,998.8728618558551,991.3656765164919,998.761785183301,992.5849746957355,999.8932440183887,999.8932440183887,993.5837123583603,999.8932440183887
6,30,8.88888888888889,10.416666666666666,5.425347222222222,5.555555555555555,996.4232498049363,3.4951083498636115,990.1780291746871,999.7237791895769,0.9999876965123158,9964.232498049363,0,5,998.8728618558551,998.8728618558551,998.6467720891584,990.1780291746871,998.761785183301,990.2124093465462,997.6901434980113,997.6901434980113,993.5837123583603,999.7237791895769
7,35,8.88888888888889,10.416666666666666,4.340277777777778,3.3333333333333335,996.0257375631445,4.256622447079797,986.9435166775007,999.7237791895769,0.999981736617772,9960.257375631445,0,9,998.8728618558551,998.8728618558551,998.6467720891584,986.9435166775007,998.761785183301,989.4717994258153,997.6901434980113,997.6901434980113,993.5837123583603,999.7237791895769
8,40,13.333333333333334,13.88888888888889,5.425347222222222,4.444444444444445,995.4250962547743,5.1065450688954375,984.7590326756563,999.7237791895769,0.9999736836449175,9954.250962547743,0,9,998.7327417997118,998.7327417997118,998.4490900715496,986.8033966213574,998.6216651271576,984.7590326756563,997.5500234418679,997.4924614804024,993.3860303407515,999.7237791895769
9,45,13.333333333333334,13.88888888888889,2.170138888888889,5.555555555555555,994.888554808584,5.852326709429635,982.7676314840057,999.253208098796,0.9999653986352395,9948.88554808584,0,6,998.7327417997118,998.7327417997118,998.3030659496989,982.7676314840057,998.6216651271576,984.7590326756563,997.5500234418679,997.4924614804024,992.6729762288326,999.253208098796
10,50,13.333333333333334,13.88888888888889,3.2552083333333335,4.444444444444445,994.3576725025448,6.646099056084787,980.6806395226595,999.253208098796,0.999955328662011,9943.576725025448,0,9,998.7327417997118,998.7327417997118,997.4026140603473,982.4376534659614,998.6216651271576,980.6806395226595,997.5500234418679,997.4924614804024,992.6729762288326,999.253208098796
11,55,17.77777777777778,10.416666666666666,1.0850694444444444,5.555555555555555,994.0009111375372,7.1319850782103895,978.136689207014,999.253208098796,0.9999485216131277,9940.009111375372,2,12,998.5060387554863,998.5060387554863,997.2857629028174,982.4376534659614,998.3949620829321,978.136689207014,997.3233203976424,997.4924614804024,992.6729762288326,999.253208098796
12,60,17.77777777777778,10.416666666666666,2.170138888888889,3.3333333333333335,993.578486148777,7.889259469675923,978.136689207014,999.253208098796,0.999936956438323,9935.78486148777,3,16,998.5060387554863,998.5060387554863,997.2857629028174,978.2134035783591,998.3949620829321,978.136689207014,997.3233203976424,997.4924614804024,992.6729762288326,999.253208098796
13,65,22.22222222222222,10.416666666666666,2.170138888888889,4.444444444444445,993.0858951434641,8.813325078250887,973.6804584971061,999.253208098796,0.9999212461584244,9930.85895143464,4,20,998.5060387554863,998.5060387554863,997.0070741431849,973.6804584971061,998.2806858706886,978.136689207014,997.3233203976424,997.4924614804024,992.6729762288326,999.253208098796
14,70,17.77777777777778,13.88888888888889,1.0850694444444444,3.3333333333333335,992.6131220239034,8.960109862896315,973.3264961598064,999.253208098796,0.9999185237074226,9926.131220239035,6,24,998.5060387554863,998.5060387554863,996.5023328622426,973.3264961598064,998.2806858706886,978.136689207014,997.3233203976424,997.4924614804024,988.8039486514687,999.253208098796
15,75,17.77777777777778,10.416666666666666,2.170138888888889,3.3333333333333335,991.7537809544241,10.559567607119083,970.0031996935202,999.253208098796,0.9998866464022491,9917.537809544241,5,28,998.5060387554863,998.5060387554863,996.5023328622426,972.8665749785081,998.2806858706886,970.0031996935202,997.3233203976424,997.4924614804024,988.8039486514687,999.253208098796
16,80,13.333333333333334,10.416666666666666,0.0,2.2222222222222223,991.3008304358148,11.264680263797032,969.301637115707,999.253208098796,0.9998708867771996,9913.008304358147,6,32,998.5060387554863,998.5060387554863,996.5023328622426,969.301637115707,997.6814924306001,969.6378258103144,997.3233203976424,997.4924614804024,988.8039486514687,999.253208098796
17,85,13.333333333333334,10.416666666666666,0.0,1.1111111111111112,990.6856722721852,12.256690212819896,964.5173049622996,999.253208098796,0.9998469588625792,9906.856722721852,5,36,998.2760970623268,998.5060387554863,995.701213767122,969.301637115707,997.6814924306001,964.5173049622996,997.3233203976424,997.4924614804024,988.8039486514687,999.253208098796
18,90,8.88888888888889,3.4722222222222223,0.0,1.1111111111111112,990.1491982502578,12.20919528936029,964.2115485174635,999.253208098796,0.9998479778839936,9901.491982502577,5,40,998.2760970623268,998.5060387554863,990.724492750855,969.301637115707,997.6814924306001,964.2115485174635,997.3233203976424,997.4924614804024,988.7216858932975,999.253208098796
19,95,13.333333333333334,0.0,0.0,1.1111111111111112,989.7512083664855,12.933548176848383,963.6396019159541,999.253208098796,0.9998292702770056,9897.512083664855,5,44,998.2760970623268,998.5060387554863,990.724492750855,965.8936848794942,997.6814924306001,963.6396019159541,997.3233203976424,997.4924614804024,988.7216858932975,999.253208098796
20,100,13.333333333333334,0.0,0.0,2.2222222222222223,989.3444406628084,13.02192844881214,963.6396019159541,999.253208098796,0.9998267870564661,9893.444406628085,6,48,995.7707949327948,998.5060387554863,990.724492750855,964.6629437294565,997.6814924306001,963.6396019159541,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
21,105,13.333333333333334,3.4722222222222223,0.0,1.1111111111111112,988.9393967976996,13.123083413297946,962.7843414082222,999.253208098796,0.9998239419229713,9889.393967976996,5,52,995.7707949327948,995.8199619288207,990.724492750855,964.1538424127648,997.6814924306001,962.7843414082222,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
22,110,17.77777777777778,3.4722222222222223,0.0,0.0,988.3841472350525,14.231357643609748,957.7409146016505,999.253208098796,0.9997927230092118,9883.841472350525,5,56,995.7707949327948,995.8199619288207,990.5664904956598,963.8027758480619,997.6814924306001,957.7409146016505,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
23,115,17.77777777777778,6.944444444444445,0.0,0.0,987.7596374796312,15.202168823291428,957.4934508291226,999.253208098796,0.9997631869168729,9877.596374796312,7,60,995.7707949327948,995.8199619288207,989.6815884343279,958.6900441277086,997.6814924306001,957.4934508291226,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
24,120,22.22222222222222,6.944444444444445,0.0,0.0,987.3989165423948,15.906317447500314,954.0123457037021,999.253208098796,0.9997405573872388,9873.989165423947,6,64,995.7707949327948,995.8199619288207,989.6815884343279,958.6900441277086,997.5553881836556,954.0123457037021,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
25,125,26.666666666666668,3.4722222222222223,0.0,0.0,986.9504498445731,16.586250663615594,950.7692987251452,999.253208098796,0.9997176530431474,9869.50449844573,6,68,995.7707949327948,995.8199619288207,988.4399684346691,958.6900441277086,997.5553881836556,950.7692987251452,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
26,130,22.22222222222222,6.944444444444445,0.0,0.0,986.552048624954,16.819558115854797,950.7692987251452,999.253208098796,0.9997094218574654,9865.52048624954,6,72,995.7707949327948,995.8199619288207,985.8464503163037,957.2995500498816,997.5553881836556,950.7692987251452,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
27,135,22.22222222222222,3.4722222222222223,0.0,0.0,986.0728938485327,17.80984034510081,946.977760095828,999.253208098796,0.9996738928194595,9860.728938485327,7,76,995.7707949327948,995.8199619288207,985.8464503163037,956.299540914986,997.5553881836556,946.977760095828,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
28,140,26.666666666666668,3.4722222222222223,0.0,0.0,985.5272444375354,18.85769704400685,942.5095310811728,999.253208098796,0.9996340000226283,9855.272444375354,7,80,995.7707949327948,995.8199619288207,985.1431572341297,956.014568901843,997.5553881836556,942.5095310811728,997.3233203976424,997.4924614804024,988.3900521360965,999.253208098796
