round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009,tok_node_0010,tok_node_0011,tok_node_0012,tok_node_0013,tok_node_0014,tok_node_0015,tok_node_0016,tok_node_0017,tok_node_0018,tok_node_0019
1,5,4.444444444444445,3.4722222222222223,1.0850694444444444,1.1111111111111112,999.789622569356,0.7817303614171148,996.415804545951,1000.0,0.9999993886408104,19995.79245138712,0,4,1000.0,1000.0,996.415804545951,1000.0,999.5060066734432,999.8706401677252,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,10,8.88888888888889,6.944444444444445,2.170138888888889,1.1111111111111112,999.5130084814042,1.6812848961844293,992.3411640966369,1000.0,0.9999971705339152,19990.260169628084,0,8,1000.0,1000.0,992.3411640966369,1000.0,998.4331443629537,999.8706401677252,1000.0,1000.0,1000.0,999.6152210007665,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
3,15,8.88888888888889,10.416666666666666,3.2552083333333335,2.2222222222222223,999.0299936910471,1.7201864190460785,992.3411640966369,999.8393967081416,0.9999970352185329,19980.599873820942,0,7,999.1547710464237,999.1547710464237,992.3411640966369,999.1547710464237,998.4331443629537,996.4773924890155,999.8393967081416,999.8393967081416,999.8393967081416,998.7699920471902,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.4662313402468,999.8393967081416,999.6268346321052,999.6268346321052
4,20,8.88888888888889,13.88888888888889,1.0850694444444444,2.2222222222222223,998.8148734285908,1.9746391465902973,992.0231180171525,999.8393967081416,0.9999960915569707,19976.297468571815,0,7,999.1547710464237,999.1547710464237,992.0231180171525,999.1547710464237,994.9806046913621,996.4773924890155,999.8393967081416,999.8393967081416,999.733193741251,998.7699920471902,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
5,25,13.333333333333334,13.88888888888889,2.170138888888889,3.3333333333333335,998.5551414403441,2.1750828682049046,991.6457202033126,999.8393967081416,0.9999952553361319,19971.10282880688,0,9,998.7773732325838,998.7773732325838,991.6457202033126,998.7773732325838,994.9806046913621,996.0236334413249,999.8393967081416,999.8393967081416,999.733193741251,995.5387025853081,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.8393967081416,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
6,30,17.77777777777778,17.36111111111111,1.0850694444444444,3.3333333333333335,997.9269983839419,2.5572771827682095,991.554644820044,999.8393967081416,0.9999934331785119,19958.539967678837,6,13,998.7773732325838,998.7773732325838,991.6457202033126,998.7773732325838,991.554644820044,996.0236334413249,996.4134368368235,996.4134368368235,999.4320854425683,994.7592625646313,999.538288409459,999.538288409459,999.538288409459,999.538288409459,999.8393967081416,999.8393967081416,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
7,35,13.333333333333334,13.88888888888889,1.0850694444444444,0.0,997.7318986531275,2.779272805109151,991.0619115193384,999.8393967081416,0.9999922405440638,19954.63797306255,6,17,998.7773732325838,998.7773732325838,991.6457202033126,998.7773732325838,991.0619115193384,995.536057082668,993.6244901317258,996.4134368368235,999.2993471907381,994.7592625646313,999.538288409459,999.538288409459,999.538288409459,999.538288409459,999.8393967081416,999.8393967081416,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
8,40,13.333333333333334,13.88888888888889,1.0850694444444444,0.0,997.4327882249629,3.524350239928493,985.8462505019717,999.8393967081416,0.9999875150899283,19948.655764499257,11,21,998.7773732325838,998.7773732325838,991.6457202033126,998.7773732325838,985.8462505019717,995.536057082668,993.6244901317258,996.4134368368235,998.63077626383,994.6612859456153,999.538288409459,999.538288409459,999.538288409459,999.538288409459,999.8393967081416,999.8393967081416,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
9,45,13.333333333333334,10.416666666666666,1.0850694444444444,0.0,997.1648641021127,3.88057466786325,984.8278327168562,999.8393967081416,0.9999848556172685,19943.297282042255,15,25,998.7773732325838,998.7773732325838,991.6457202033126,998.7773732325838,984.8278327168562,991.5422003472424,993.6244901317258,996.4134368368235,998.63077626383,994.6612859456153,999.538288409459,999.538288409459,999.538288409459,999.538288409459,999.8393967081416,999.4931887716818,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
10,50,13.333333333333334,10.416666666666666,1.0850694444444444,0.0,996.9266109029808,4.0963287357526,984.8278327168562,999.8393967081416,0.9999831167561068,19938.532218059616,13,29,998.7773732325838,998.7773732325838,991.2853505813188,998.7773732325838,984.8278327168562,991.5422003472424,993.5024965719357,996.4134368368235,998.028422437015,990.9809389715758,999.538288409459,999.538288409459,999.538288409459,999.538288409459,999.8393967081416,999.4931887716818,999.4662313402468,999.4137801769812,999.6268346321052,999.6268346321052
